Palavra,Pronúncia,Tradução
the,dhâ,"o, a, os, as"
of,âv,de
to,tuu,para
and,énd,e
a,â,"um, uma"
in,ên,"em, dentro"
is,ês,é
it,êt,este
you,yuu,você
that,dhét,"que, aquele"
he,rrii,ele
was,uós,"era, estava"
for,fór,"por, para"
on,ón,em
are,ar,"são, estão"
with,uêdh,com
as,és,"como, enquanto"
I,ai,eu
his,rrês,seu
they,dhei,eles
be,bii,"ser, estar"
at,ét,em
one,uân,um
have,rrév,ter
this,dhês,este
from,frâm,de
or,ór,ou
had,rréd,tinha
by,bai,"por, em"
hot,rrat,quente
word,uâd,palavra
but,bât,mas
what,uót,o-que
some,sâm,algum
we,uii,nós
can,kén,"pode, lata"
out,aut,fora
other,âdhâr,outro
were,uâr,"eram, esavam"
all,ól,todo
there,thér,lá
when,uen,quando
up,âp,para-cima
use,iuz,usar
your,yór,seu
how,rráu,"como, quão"
said,séd,disse
an,én,"um, uma"
each,iich,cada
she,shii,ela
which,uêtch,qual
do,duu,"fazer, mesmo"
their,thér,seus
time,taim,"tempo, hora"
if,êf,se
will,uêl,"vai, vontade"
way,uei,"caminho, jeito"
about,âbaut,"sobre, quase"
many,méni,muitos
then,dhên,então
them,dhêm,deles
write,rait,escrever
would,uôd,deveria
like,laik,"como, gostar"
so,sôu,"assim, tão"
these,dhiiz,estes
her,rrâr,dela
long,lóng,longo
make,meik,fazer
thing,thêng,coisa
see,sii,ver
him,rrêm,dele
two,tuu,"dois, duas"
has,rrés,tem
look,lôk,olhar
more,mór,mais
day,dei,dia
could,côd,poderia
go,gôu,ir
come,câm,vir
did,dêd,"fez, mesmo"
number,nâmbâr,número
sound,saund,som
no,nou,não
most,moust,"mais, maior"
people,piipâl,"pessoas, povo"
my,mai,meu
over,ouvâr,"sobre, acima-de"
know,nou,saber
water,uóttâr,água
than,dhén,que
call,cól,chamar
first,fârst,primeiro
who,rruu,que
may,mei,"maio, pode"
down,daun,baixo
side,said,lado
been,bên,"sido, estado"
now,nau,agora
find,faind,encontrar
any,éni,qualquer
new,nuu,novo
work,uârk,trabalho
part,part,parte
take,teik,pegar
get,ghét,ficar
place,pleis,lugar
made,meid,feito
live,"lêv, laiv","viver, vivo"
where,uér,onde
after,éftâr,após
back,bék,"atrás, costas"
little,lêttâl,"pequeno, pouco"
only,ounli,somente
round,raund,"redondo, rodada"
man,mén,homem
year,yiir,ano
came,keim,chegado
show,shou,mostrar
every,evri,cada
good,gôd,bom
me,mii,"me, eu"
give,ghêv,dar
our,ar,nosso
under,ândâr,sob
name,neim,nome
very,véri,"muito, absoluto"
through,thruu,através-de
just,jâst,"justo, só"
form,fórm,"forma, formulário"
sentence,sêntâns,sentença
great,greit,"ótimo, excelente, grande"
think,thênk,pensar
say,sei,dizer
help,rrêlp,ajudar
low,lou,baixo
line,lain,"linha, fila"
differ,dêfâr,diferir
turn,târn,"tornar, vez"
cause,cóz,causa
much,mâtch,muito
mean,miin,"meio, significar"
before,bêfór,antes
move,muuv,movimento
right,rait,direito
boy,bói,garoto
old,ould,velho
too,tuu,também
same,seim,mesmo
tell,têl,contar
does,dâz,"faz, mesmo"
set,sêt,"conjunto, fixar"
three,thrii,três
want,uânt,querer
air,ér,ar
well,uel,"bem, poço"
also,ólsou,também
play,plei,"peça, tocar"
small,smól,pequeno
end,ênd,"fim, finalizar"
put,pôt,por
home,rroum,casa
read,riid,"ler, lido"
hand,rrénd,mão
port,pórt,porto
large,larj,grande
spell,spêl,"soletrar, encanto"
add,éd,adicionar
even,iivân,mesmo
land,lénd,terra
here,rriir,aqui
must,mâst,dever
big,bêg,grande
high,rrai,alto
such,sâtch,tal
follow,falou,seguir
act,ékt,"ato, agir"
why,uai,por-que
ask,ésk,"pedir, perguntar"
men,mên,homens
change,tcheinj,mudar
went,uent,foi
light,lait,"leve, luz"
kind,kaind,"bom, tipo"
off,óf,"por, desligado"
need,niid,precisar
house,rraus,casa
picture,pêktchâr,"foto, filme"
try,trai,tentar
us,âs,nos
again,âghein,de-novo
animal,énâmâl,animal
point,point,ponto
mother,mâdhâr,mãe
world,uârld,mundo
near,niir,perto
build,bêld,construir
self,self,"próprio, ego"
earth,ârth,terra
father,fódhâr,pai
head,rred,cabeça
stand,sténd,"permanecer, de-pé, banca"
own,oun,próprio
page,peij,página
should,shôd,deveria
country,cântri,país
found,faund,"encontrado, fundar"
answer,énsâr,resposta
school,skool,escola
grow,grou,crescer
study,stâdi,estudo
still,stêl,"até, calmo"
learn,lârn,aprender
plant,plént,"planta, fábrica"
cover,câvâr,cobrir
food,fuud,comida
sun,sân,sol
four,fór,quatro
between,bituiin,entre
state,steit,estado
keep,kiip,guardar
eye,ai,olho
never,nevâr,nunca
last,lést,"último, durar"
let,let,deixar
thought,thót,"pensamento, pensado"
city,cêtti,cidade
tree,trii,árvore
cross,crós,"cruz, cruzar"
farm,farm,fazenda
hard,rrard,duro
start,start,começar
might,mait,"poder, poderia"
story,stóri,"estória, andar(prédio)"
saw,só,"viu, serra"
far,far,longe
sea,sii,mar
draw,dró,"arrastar, empate"
left,left,"esquerda, deixado"
late,leit,tarde
run,rân,correr
don’t,dount,não
while,uail,enquanto
press,pres,"pressão, imprensa"
close,clous,fechar
night,nait,noite
real,riil,real
life,laif,vida
few,fiu,alguns
north,nórth,norte
open,oupân,aberto
seem,siim,parecer
together,tâghedhâr,juntos
next,next,próximo
white,uait,branco
children,tchêldrân,crianças
begin,bêghên,começar
got,gat,ficado
walk,uók,andar
example,igzémpâl,exemplo
ease,iiz,facilitar
paper,peipâr,papel
group,grup,grupo
always,óluêz,sempre
music,miuzêk,música
those,dhouz,aqueles
both,bouth,ambos
mark,mark,marcar
often,ófân,muitas-vezes
letter,lettâr,"letra, carta"
until,ântêl,até
mile,mail,milha
river,rêvâr,rio
car,car,carro
feet,fiit,pés
care,kér,cuidado
second,secând,segundo
book,bôk,livro
carry,kéri,carregar
took,tôk,pego
science,sains,ciência
eat,iit,comer
room,ruum,"cômodo, quarto"
friend,frend,amigo
sight,sait,visão
began,bêgén,começado
idea,aidiia,idéia
fish,fêsh,"peixe, pescar"
mountain,mauntân,montanha
stop,stap,parar
once,uâns,uma-vez
base,beis,base
hear,rriir,ouvir
horse,rrórs,cavalo
cut,cât,cortar
sure,shôr,certo
watch,uótch,"assistir, relógio"
color,câlâr,"cor, colorir"
face,feis,rosto
wood,uôd,madeira
main,mein,principal
enough,inâf,bastante
plain,plein,"plano, simples"
girl,gârl,garota
usual,iuzhuâl,"usual, comum"
young,yâng,jovem
ready,riidi,pronto
above,âbâv,acima
ever,evâr,"sempre, já"
red,red,vermelho
list,lêst,lista
though,thou,apesar-de
feel,fiiól,"sentir, sentimendo"
talk,tók,conversar
bird,bârd,pássaro
soon,suun,logo
body,baddi,corpo
dog,dóg,cachorro
family,fémâli,família
direct,dârekt,direto
pose,pouz,posição
leave,liiv,deixar
song,sóng,canção
measure,mejâr,medida
door,dór,porta
product,pradâkt,produto
black,blék,negro
short,shórt,curto
numeral,nuumârâl,numeral
class,clés,classe
wind,uênd,vento
question,quéschân,"questão, pergunta"
happen,rrépân,acontecer
complete,câmpliit,completo
ship,shêp,"navio, embarcar"
area,ériiâ,área
half,rréf,metade
rock,rak,"roque, rocha"
order,órdâr,"ordem, pedido"
fire,fair,"fogo, incêndio, despedir"
south,sauth,sul
problem,prablâm,problema
piece,piis,"peça, pedaço"
told,tould,contado
knew,nuu,sabido
pass,pés,passar
since,sêns,desde
top,tap,"topo, principal"
whole,rroul,inteiro
king,kêng,rei
space,speis,espaço
heard,rrârd,ouvido
best,best,melhor
hour,aur,hora
better,bettâr,melhor
true,truu,verdadeiro
during,duurêng,durante
hundred,rrândrâd,cem
five,faiv,cinco
remember,rimembâr,lembrar
step,step,passo
early,ârli,cedo
hold,rrould,guardar
west,uest,oeste
ground,graund,"terra, amolado"
interest,êntrâst,"interesse, juros"
reach,riitch,alcançar
fast,fést,rápido
verb,vârb,verbo
sing,sêng,cantar
listen,lêssân,ouvir
six,sêks,seis
table,teibâl,"mesa, tabela"
travel,trévâl,viajar
less,les,menos
morning,mórnên,manhã
ten,ten,dez
simple,sêmpâl,simples
several,sevrâl,vários
vowel,vaul,vogal
toward,tuuard,para
war,uar,guerra
lay,lei,"deitar, amador"
against,âghenst,contra
pattern,péttârn,padrão
slow,slou,devagar
center,centâr,centro
love,lâv,"amor, amar"
person,pârsân,pessoa
money,mâni,dinheiro
serve,sârv,servir
appear,âpiir,aparecer
road,roud,estrada
map,mép,mapa
rain,rein,chuva
rule,ruul,"régua, regra"
govern,gâvârn,governar
pull,pôl,puxar
cold,could,frio
notice,nottâs,aviso
voice,vois,voz
unit,iunât,unidade
power,pauâr,"poder, força"
town,taun,municipal
fine,fain,"bom, excelente"
certain,sârtân,certo
fly,flai,"voar, mosca"
fall,fól,"cair, queda, outono"
lead,liid,"levar, chumbo"
cry,crai,"choro, chorar"
dark,dark,escuro
machine,mâshiin,máquina
note,nout,anotar
wait,ueit,esperar
plan,plén,plano
figure,fêghiâr,"figura, imaginar"
star,star,estrela
box,baks,caixa
noun,naun,substantivo
field,fiild,campo
rest,rest,"resto, descanso"
correct,cârekt,correto
able,eibâl,capaz
pound,paund,libra
done,dân,feito
beauty,biutti,beleza
drive,draiv,"direção, dirigir"
stood,stud,permanecido
contain,cântein,conter
front,frânt,frente
teach,tiitch,ensinar
week,uiik,semana
final,fainâl,final
gave,gheiv,dado
green,griin,verde
oh,ou,ó
quick,quêk,rápido
develop,dêvelâp,desenvolver
ocean,oushân,oceano
warm,uórm,quente
free,frii,"livre, grátis"
minute,mênât,minuto
strong,stróng,forte
special,speshâl,especial
mind,maind,"mente, importar-se"
behind,bêrraind,atrás
clear,cliir,claro
tail,teil,rabo
produce,prâdus,produção
fact,fékt,fato
street,striit,rua
inch,êntch,polegada
multiply,mâltâplai,multiplicar
nothing,nâthêng,nada
course,córs,curso
stay,stei,ficar
wheel,uiil,roda
full,fôl,cheio
force,fórs,"força, forçar"
blue,bluu,azul
object,âbjêkt,objeto
decide,dêsaid,decidir
surface,sârfâs,superficie
deep,diip,profundo
moon,muun,lua
island,ailând,ilha
foot,fuut,pé
system,sêstâm,sistema
busy,bêzi,ocupado
test,test,teste
record,recârd,"recorde, gravar, registro"
boat,bout,barco
common,camân,comum
gold,gould,ouro
possible,pasâbâl,possível
plane,plein,avião
stead,sted,local
dry,drai,seco
wonder,uândâr,admirar
laugh,léf,rir
thousand,thauzând,mil
ago,âgou,atrás
ran,rén,corrido
check,tchek,"cheque, checagem"
game,gheim,jogo
shape,sheip,forma
equate,iiqueit,equacionar
miss,mês,"sentir, senhorita"
brought,brót,trazido
heat,rriit,calor
snow,snou,neve
tire,tair,"pneu, cansar"
bring,brêng,trazer
yes,yes,sim
distant,dêstânt,distante
fill,fêl,encher
east,iist,leste
paint,peint,pintar
language,lénguêj,língua
among,âmâng,entre
grand,grénd,grandioso
ball,ból,bola
yet,yet,"ainda, já"
wave,ueiv,onda
drop,drap,gota
heart,rrórt,coração
am,ém,"sou, estou"
present,prezânt,presente
heavy,rrevi,pesado
dance,déns,dança
engine,enjân,motor
position,pâzêshãn,posição
arm,arm,braço
wide,uaid,amplo
sail,seil,vela(navio)
material,mâtiiriâl,material
size,saiz,tamanho
vary,véri,variar
settle,settâl,estabelecer
speak,spiik,falar
weight,ueit,peso
general,jenral,"general, geral"
ice,ais,gelo
matter,méttâr,"matéria, importar-se"
circle,sârkâl,círculo
pair,pér,par
include,ênclud,incluir
divide,dêvaid,dividir
syllable,sêlâbâl,sílaba
felt,feólt,sentido
perhaps,pârhépps,talvez
pick,pêk,"escolher, apanhar"
sudden,sâdân,imprevisto
count,caunt,"contar, contagem, conde"
square,squér,"quadrado, praça"
reason,riizân,razão
length,lenth,comprimento
represent,reprêzent,representar
art,art,arte
subject,sâbjêkt,"sujeito, assunto"
region,riijân,região
energy,enârji,energia
hunt,rrânt,caçar
probable,prabâbâl,provável
bed,bed,cama
brother,brâdhâr,irmão
egg,eg,ovo
ride,raid,passeio
cell,ceól,"cela, célula"
believe,bêliiv,acreditar
fraction,frécshân,fração
forest,fórâst,floresta
sit,sêt,sentar
race,reis,"raça, corrida"
window,uêndou,janela
store,stór,armazém
summer,sâmâr,verão
train,trêin,"trem, treinar"
sleep,sliip,dormir
prove,pruuv,provar
lone,loun,só
leg,leg,perna
exercise,eksârsaiz,exercício
wall,uól,parede
catch,kétch,pegar
mount,maunt,"monte, montar"
wish,uêsh,desejo
sky,skai,céu
board,bórd,quadro
joy,jói,alegria
winter,uênttâr,inverno
sat,sét,sentado
written,rêtân,escrito
wild,uaild,selvagem
instrument,ênstrâmânt,instrumento
kept,kept,guardado
glass,glés,vidro
grass,grés,grama
cow,cau,vaca
job,jáb,"trabalho, jó"
edge,ej,canto
sign,sain,sinal
visit,vêzât,visita
past,pést,passado
soft,saft,macio
fun,fân,alegria
bright,brait,claro
gas,ghés,"gás, gasolina"
weather,uedhâr,tempo
month,mânt,mês
million,mêliân,milhão
bear,bér,"urso, carregar"
finish,fênish,"fim, finalizar"
happy,rrépi,feliz
hope,rroup,esperança
flower,flauâr,flor
clothe,cloudh,vestir
strange,streindj,estranho
gone,gón,ido
jump,jâmp,pular
baby,beibi,bebê
eight,eit,oito
village,vêlâj,vila
meet,miit,encontrar
root,ruut,raiz
buy,bai,comprar
raise,reiz,levantar
solve,soulv,resolver
metal,mettâl,metal
whether,uedhâr,se
push,pôsh,"empurrar, iniciativa"
seven,sevân,sete
paragraph,pérâgréf,parágrafo
third,thârd,terceiro
shall,shél,vai
held,rreld,guardado
hair,rrér,cabelo
describe,dêcraib,descrever
cook,côk,cozinhar
floor,flór,"chão, derrotar"
either,aidhâr,"um, ou outro, também"
result,rêzâlt,resultado
burn,bârn,queimar
hill,rrêl,colina
safe,seif,"seguro, cofre"
cat,két,gato
century,centri,século
consider,cânsêdâr,considerar
type,taip,"tipo, datilografar"
law,ló,lei
bit,bêt,"pouco, broca"
coast,coust,"costa, litoral"
copy,capi,copiar
phrase,freiz,frase
silent,sailânt,silencio
tall,tól,alto(pessoa)
sand,sénd,areia
soil,sóil,solo
roll,rôl,"giro, lista"
temperature,temprâchâr,temperatura
finger,fêngâr,dedo
industry,êndâstri,indústria
value,véliu,valor
fight,fait,luta
lie,lai,"deitar, mentir"
beat,biit,bater
excite,iksait,instigar
natural,nétchârâl,natural
view,viu,vista
sense,sens,sentido
ear,iir,"orelha, espiga"
else,els,outro
quite,quait,muito
broke,brouk,quebrado
case,keis,"caso, embalagem"
middle,mêdâl,meio
kill,kêl,matar
son,sân,filho
lake,leik,lago
moment,moumânt,momento
scale,skeil,"escada, escala, escama"
loud,laud,alto(som)
spring,sprêng,"primavera, mola"
observe,âbzârv,observar
child,tchaild,criança
straight,streit,reto
consonant,cansânânt,consoante
nation,neishân,nação
dictionary,dêkshânâri,dicionário
milk,mêlk,leite
speed,spiid,velocidade
method,méthâd,método
organ,órgân,órgão
pay,pei,pagar
age,eij,idade
section,sekshân,seção
dress,dres,vestido
cloud,claud,nuvem
surprise,sârpraiz,surpresa
quiet,quait,quieto
stone,stoun,pedra
tiny,taini,minúsculo
climb,claim,escalar
cool,cuul,frio
design,dêzain,desenho
poor,pôr,pobre
lot,lót,"muito, lote"
experiment,eksperâmânt,experimento
bottom,battâm,baixo
key,kii,chave
iron,airn,ferro
single,sêngâl,"só, solteiro"
stick,stêk,"vareta, fincar"
flat,flét,"achatado, plano"
twenty,tuenti,vinte
skin,skên,pele
smile,smail,sorriso
crease,criis,ruga
hole,rroul,buraco
trade,treid,comércio
melody,melâdi,melodia
trip,trêp,"viajar, passeio"
office,afâs,"escritório, função"
receive,riciiv,receber
row,rou,"remar, fila"
mouth,mauth,boca
exact,igzéct,exato
symbol,sêmbâl,símbol
die,dai,morrer
least,liist,menos
trouble,trâbâl,preocupação
shout,shaut,gritar
except,êkscept,exceto
wrote,rout,escrito
seed,siid,semente
tone,toun,tom
join,join,juntar
suggest,sâgjest,sugerir
clean,cliin,limpo
break,breik,quebrar
lady,leidi,dama
yard,yard,"jarda, quintal"
rise,raiz,levantar
bad,béd,mal
blow,blou,assoprar
oil,oil,"óleo, petróleo"
blood,blâd,sangue
touch,tâtch,tocar
grew,gruu,crescido
cent,cent,centavo
mix,mêks,mistura
team,tiim,grupo
wire,uair,arame
cost,cóst,custo
lost,lóst,perdido
brown,braun,marrom
wear,uér,usar
garden,gardân,jardim
equal,iiquâl,igual
sent,sent,enviado
choose,tchuuz,escolher
fell,fel,caido
fit,fêt,ajustado
flow,flou,"correr, corrente"
fair,fér,"feira, claro"
bank,bénk,banco
collect,câlect,"recolher, pagar"
save,seiv,salvar
control,cântroul,controle
decimal,dêsêmâl,decimal
gentle,jentâl,gentil
woman,uômân,mulher
captain,képtân,capitão
practice,précttâs,prática
separate,sepârât,separado
difficult,dêfêcâlt,difícil
doctor,dactâr,doutor
please,pliiz,"por-favor, agradar"
protect,prâtect,proteger
noon,nuun,meio-dia
whose,rruuz,cujo
locate,loukeit,localizar
ring,rêng,"anel, tocar"
character,kérêktâr,"caráter, personagem"
insect,ênsect,inseto
caught,cót,pego
period,pêriiâd,período
indicate,êndêkeit,indicar
radio,reidiiou,rádio
spoke,spouk,"falado, raio"
atom,étâm,átomo
human,rriumân,humano
history,rrêstâri,história
effect,êfect,efeito
electric,êlektrêk,elétrico
expect,ikspekt,esperar
crop,crap,colheita
modern,madârn,moderno
element,elêmânt,elemento
hit,rrêt,acertar
student,stuudânt,estudante
corner,córnâr,esquina
party,party,"partido, festa"
supply,sâplai,suprir
bone,boun,osso
rail,reil,"grade, trilho"
imagine,êmédjân,imaginar
provide,prâvaid,fornecer
agree,âgrii,concordar
thus,dhâs,assim
capital,képêtâl,capital
won’t,uount,não-vai
chair,tchér,cadeira
danger,deindjâr,perigo
fruit,fruut,fruta
rich,rêtch,rico
thick,thêk,grosso
soldier,souldjãr,soldado
process,prouces,processo
operate,apâreit,operar
guess,ghes,adivinhar
necessary,nesâséri,necessário
sharp,sharp,"agudo, sustenido"
wing,uêng,asa
create,crieit,criar
neighbor,neibâr,vizinho
wash,uósh,lavar
bat,bét,"morcego, bastão"
rather,raadhâr,de-preferência
crowd,craud,multidão
corn,córn,milho
compare,câmpér,comparar
poem,pouêm,poema
string,strêng,corda
bell,beól,sino
depend,dêpend,depender
meat,miit,carne
rub,râb,esfregar
tube,tuub,"tubo, tv"
famous,feimâs,famoso
stream,striim,corrente
fear,fiir,"medo, temer"
thin,thên,"fino, magro"
triangle,traiéngâl,triângulo
planet,plénât,planeta
hurry,rrâri,pressa
chief,chiif,chefe
clock,clak,relógio
mine,main,"meu, mina"
tie,tai,amarrar
enter,enttâr,entrar
major,meidjâr,"maior, major"
fresh,fresh,fresco
search,sârtch,buscar
send,send,enviar
yellow,yelou,amarelo
gun,gân,arma
rose,rouz,"rosa, levantado"
allow,âlau,permitir
print,prênt,imprimir
dead,ded,morto
spot,spat,ponto
desert,dêzârt,deserto
suit,suut,terno
current,cârânt,atual
lift,lêft,levantar
continue,cântêniu,continuar
block,blak,bloco
chart,tchart,gráfico
hat,rrét,chapéu
sell,sel,vender
success,sâkses,sucesso
company,câmpâni,"companhia, empresa"
subtract,sâbtréct,subtrair
event,ivent,evento
particular,partêkiâlar,especial
deal,diil,negócio
term,târm,"termo, período"
opposite,apâzât,oposto
wife,uaif,esposa
shoe,shuu,sapato
shoulder,shouldâr,ombro
spread,spred,espalhar
arrange,âreindj,arranjar
camp,kémp,campo
invent,ênvent,inventar
cotton,catân,algodão
born,bórn,nascido
determine,dêtârmân,determinar
quart,quórt,quarto(medida)
nine,nain,nove
truck,trâk,caminhão
noise,nóiz,barulho
level,levâl,nível
chance,tchéns,"chance, acaso"
gather,ghédhâr,juntar
shop,shap,loja
stretch,stretch,alcance
throw,throu,arremessar
shine,shain,brilhar
property,prapâtti,propriedade
column,calâm,coluna
molecule,malêkiul,molécula
select,sêlect,selecionar
wrong,róng,errado
gray,grei,cinza
repeat,rêpiit,repetir
require,rêquair,exigir
broad,bród,amplo
prepare,prêpér,preparar
salt,sólt,sal
nose,nouz,nariz
plural,plôrâl,plural
anger,éngâr,raiva
claim,cleim,clamar
continent,cantânânt,continente
oxygen,aksêdjân,oxigênio
sugar,shuugâr,açúcar
death,deth,morte
pretty,prêti,"belo, muito"
skill,skêl,habilidade
women,uêmân,mulheres
season,seezân,estação
solution,sâlushân,solução
magnet,mégnât,imã
silver,sêlvãr,prata
thank,thénk,agradecer
branch,brénch,galho
match,métch,"competição, fósforo"
suffix,sâfêks,sufixo
especially,êspeshâli,especialmente
fig,fêg,figo
afraid,âfreid,com-medo
huge,rriudj,"grande, enorme"
sister,sêstâr,irmã
steel,stiil,aço
discuss,dêscâs,discutir
dollar,dalâr,dólar
forward,fóruârd,"adiante, passar adiante"
similar,sêmâlãr,semelhante
guide,gaid,"guia, guiar"
experience,êkspiiriâns,experiência
score,scór,"placar, duas-dezenas"
apple,épâl,maçã
bought,bót,comprado
led,led,levado
colony,calâni,colonia
pitch,pêtch,"piche, arremeço"
coat,cout,casaco
mass,més,"massa, missa"
card,card,cartão
band,bénd,banda
rope,roup,corda
slip,slêp,escorregar
win,uên,ganhar
dream,driim,sonho
evening,iivnêng,noite
condition,cândêshân,condição
feed,fiid,alimentar
tool,tuul,ferramenta
total,toutãl,total
basic,beisêk,básico
smell,smel,cheiro
valley,véli,vale
nor,nór,nem
double,dâbâl,dobro
seat,siit,assento
arrive,âraiv,chegar
master,méstâr,mestre
track,trék,trilha
parent,pérânt,pais
shore,shór,praia
division,dêvêzhân,divisão
sheet,shiit,"folha, lençol"
substance,sâbstâns,substância
favor,feivâr,"favor, favorecer"
connect,cânect,conectar
post,poast,"pós, posto"
spend,spend,gastar
swim,suêm,nadar
chord,córd,acorde
fat,fét,gordo
glad,gléd,contente
original,ârêdjânâl,original
share,shér,parte
station,steishân,estação
dad,déd,papai
bread,bréd,pão
charge,chardj,"carga, cobrança"
proper,prapâr,próprio
bar,bar,"bar, barra"
offer,afêr,oferecer
segment,segmânt,segmento
slave,sleiv,escravo
duck,dâk,"pato, mergulhar"
instant,ênstânt,instante
market,markât,mercado
degree,dêgrii,grau
populate,papiâleit,povoar
chick,tchêk,pintinho
dear,diir,querido
enemy,enâmi,inimigo
reply,rêplai,resposta
drink,drênk,bebida
occur,âcâr,ocorrer
support,sâpórt,apoiar
speech,spiitch,discurso
nature,neitchâr,natureza
range,reindj,"alcance, pastagem"
steam,stiim,vapor
motion,moushân,movimento
path,péth,caminho
liquid,lêquâd,líquido
log,lóg,"lenha, diário"
meant,ment,significado
quotient,quoshânt,quociente
teeth,tiith,dentes
shell,shel,concha
neck,nek,pescoço
dessert,dêssârt,sobremesa
